"UTC","LocalTime","Machine","User","PID","Basename","ActionId","Action","Info","Path","CommandLine"
"133483376270781151","12-29-2023 16:33:47","DESKTOP-RP0TC7B","ibtisam","4576","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: E:\data\portable\standards\Bitsum Process Lasso Pro v12.4.0.44 Multilingual Portable [FTUApps]\Data\config\prolasso.ini","E:\data\portable\standards\Bitsum Process Lasso Pro v12.4.0.44 Multilingual Portable [FTUApps]\App\ProgramFiles64","<Not included by option>"
"133483376270781151","12-29-2023 16:33:47","DESKTOP-RP0TC7B","ibtisam","4576","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.4.0.44 (5810300) (c)2023 Bitsum LLC","E:\data\portable\standards\Bitsum Process Lasso Pro v12.4.0.44 Multilingual Portable [FTUApps]\App\ProgramFiles64","<Not included by option>"
"133483376270781151","12-29-2023 16:33:47","DESKTOP-RP0TC7B","ibtisam","4576","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
"133483379552096367","12-29-2023 16:39:15","DESKTOP-RP0TC7B","ibtisam","1136","googlechromeportable.exe","22","(0x16) Process priority adjusted","Above normal","g:\browsers\googlechromeportable\googlechromeportable.exe","<Not included by option>"
"133483380456577301","12-29-2023 16:40:45","DESKTOP-RP0TC7B","ibtisam","10268","processgovernor.exe","59","(0x3b) Configuration file loaded","Config from: E:\data\portable\standards\Bitsum Process Lasso Pro v12.4.0.44 Multilingual Portable [FTUApps]\Data\config\prolasso.ini","E:\data\portable\standards\Bitsum Process Lasso Pro v12.4.0.44 Multilingual Portable [FTUApps]\App\ProgramFiles64","<Not included by option>"
"133483380456577301","12-29-2023 16:40:45","DESKTOP-RP0TC7B","ibtisam","10268","processgovernor.exe","58","(0x3a) Process management has begun","Process Lasso v12.4.0.44 (5810300) (c)2023 Bitsum LLC","E:\data\portable\standards\Bitsum Process Lasso Pro v12.4.0.44 Multilingual Portable [FTUApps]\App\ProgramFiles64","<Not included by option>"
"133483380456577301","12-29-2023 16:40:45","DESKTOP-RP0TC7B","ibtisam","10268","processgovernor.exe","60","(0x3c) Management scope","Managing processes for user(s): All users","",""
"133483380798424061","12-29-2023 16:41:19","DESKTOP-RP0TC7B","ibtisam","9748","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483380798424061","12-29-2023 16:41:19","DESKTOP-RP0TC7B","ibtisam","9748","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483380849780397","12-29-2023 16:41:24","DESKTOP-RP0TC7B","ibtisam","9748","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483380849780397","12-29-2023 16:41:24","DESKTOP-RP0TC7B","ibtisam","9748","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381022080728","12-29-2023 16:41:42","DESKTOP-RP0TC7B","ibtisam","7924","googlechromeportable.exe","22","(0x16) Process priority adjusted","Above normal","g:\browsers\googlechromeportable\googlechromeportable.exe","<Not included by option>"
"133483381072516203","12-29-2023 16:41:47","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381072516203","12-29-2023 16:41:47","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381092839348","12-29-2023 16:41:49","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","34","(0x22) ProBalance ended because process is now in foreground.","The process was brought to the foreground and foreground processes are excluded from ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381092839348","12-29-2023 16:41:49","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381092839348","12-29-2023 16:41:49","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381215664916","12-29-2023 16:42:01","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381215684937","12-29-2023 16:42:01","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381225992522","12-29-2023 16:42:02","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381226002737","12-29-2023 16:42:02","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381236223724","12-29-2023 16:42:03","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","34","(0x22) ProBalance ended because process is now in foreground.","The process was brought to the foreground and foreground processes are excluded from ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381236223724","12-29-2023 16:42:03","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381236223724","12-29-2023 16:42:03","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381236233839","12-29-2023 16:42:03","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","34","(0x22) ProBalance ended because process is now in foreground.","The process was brought to the foreground and foreground processes are excluded from ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381236233839","12-29-2023 16:42:03","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381236233839","12-29-2023 16:42:03","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381266850087","12-29-2023 16:42:06","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381266870093","12-29-2023 16:42:06","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381318019518","12-29-2023 16:42:11","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","46","(0x2e) Restored original process priority","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381318019518","12-29-2023 16:42:11","DESKTOP-RP0TC7B","ibtisam","9500","chrome.exe","32","(0x20) ProBalance restraint ended","The process has quit affecting system responsiveness.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381414883628","12-29-2023 16:42:21","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","43","(0x2b) ProBalance begun","This process is now being acted on by ProBalance.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
"133483381414893697","12-29-2023 16:42:21","DESKTOP-RP0TC7B","ibtisam","3168","chrome.exe","44","(0x2c) Process priority temporarily lowered by ProBalance","This process may have been affecting system responsiveness. ProBalance has temporarily adjusted its priority class.","g:\browsers\googlechromeportable\app\chrome-bin\chrome.exe","<Not included by option>"
